ANO;POT_SAFRI_SUP;POT_SAFRI_PREC;POT_SAFRI_NORM;POT_SAFRI_MEDIA;POT_SAFRA_SUP;POT_SAFRA_PREC;POT_SAFRA_NORM;POT_SAFRA_MED;ATI_SAFRI_SUP;ATI_SAFRI_PREC;ATI_SAFRI_NORM;ATI_SAFRI_MEDIA;ATI_SAFRA_SUP;ATI_SAFRA_PREC;ATI_SAFRA_NORM;ATI_SAFRA_MED
1980;5608;7496;6204;6436;5895;7565;6675;6711.666667;1531;2467;2352;2116.666667;3492;6460;6573;5508.333333
1981;4289;6171;6022;5494;5317;7308;6403;6342.666667;3347;4763;4581;4230.333333;5258;7268;6377;6301
1982;4938;6905;6680;6174.333333;5545;7853;7038;6812;2920;3630;3114;3221.333333;4725;5753;5262;5246.666667
1983;5013;6041;5292;5448.666667;5246;6858;6059;6054.333333;3299;4192;3679;3723.333333;5235;6824;6237;6098.666667
1984;5334;6918;5370;5874;5974;7955;7184;7037.666667;4502;6235;5044;5260.333333;5796;7747;7052;6865
1985;5424;7307;6324;6351.666667;4626;5784;5340;5250;4555;5584;4205;4781.333333;117;0;0;39
1986;4605;6284;6067;5652;5118;7208;6179;6168.333333;3961;5029;4491;4493.666667;2260;2719;2840;2606.333333
1987;4408;5431;4977;4938.666667;5610;7607;6581;6599.333333;3245;4195;4072;3837.333333;2153;4163;5095;3803.666667
1988;4562;5931;6191;5561.333333;5573;7866;6729;6722.666667;4564;6675;6479;5906;4593;6620;6442;5885
1989;5597;7486;7185;6756;5869;8439;7081;7129.666667;4807;6008;4892;5235.666667;2421;2773;3163;2785.666667
1990;4803;6492;6056;5783.666667;4787;6371;5558;5572;2324;2500;2129;2317.666667;590;306;0;298.6666667
1991;4727;6626;6294;5882.333333;5879;8405;7505;7263;4089;5234;3833;4385.333333;5336;7453;6285;6358
1992;4684;6490;5864;5679.333333;6155;8053;6781;6996.333333;4417;6414;5324;5385;6069;7966;6738;6924.333333
1993;5145;6879;5911;5978.333333;3729;5454;4766;4649.666667;5012;6441;5376;5609.666667;984;1557;1496;1345.666667
1994;5010;6256;5576;5614;4836;6182;5767;5595;3408;4263;4230;3967;4346;5755;5457;5186
1995;3561;4596;4269;4142;3031;3940;3151;3374;0;0;0;0;1841;2523;2577;2313.666667
1996;6013;7850;6736;6866.333333;5659;7431;6479;6523;3985;4900;4143;4342.666667;4099;3863;2870;3610.666667
1997;4787;6287;6280;5784.666667;6171;8827;7392;7463.333333;4544;5933;5489;5322;3364;4091;3844;3766.333333
1998;6990;9798;8888;8558.666667;7377;9213;7520;8036.666667;4021;6140;4371;4844;6328;8052;7111;7163.666667
1999;6648;8812;7698;7719.333333;5548;7751;6879;6726;3841;4035;2562;3479.333333;2525;4642;5080;4082.333333
2000;4938;6519;5791;5749.333333;4873;6705;5712;5763.333333;1517;1284;1122;1307.666667;4459;6397;5710;5522
2001;5492;7238;5991;6240.333333;5615;7736;6234;6528.333333;4856;6244;5285;5461.666667;4934;6633;5606;5724.333333
2002;4452;5837;5399;5229.333333;5081;6802;5848;5910.333333;4062;5876;5537;5158.333333;2771;4167;4850;3929.333333
2003;4733;6403;6139;5758.333333;5568;6922;6305;6265;4826;5682;4821;5109.666667;4732;6622;5930;5761.333333
2004;5059;6918;6255;6077.333333;5340;7369;6556;6421.666667;1538;2956;3253;2582.333333;4505;6105;5544;5384.666667
2005;4723;6351;5510;5528;5406;7477;6344;6409;3795;4818;4401;4338;5066;7214;6300;6193.333333
2006;4990;6351;6544;5961.666667;5618;7326;6324;6422.666667;4821;5797;4906;5174.666667;1829;3374;3879;3027.333333
2007;4589;6796;6339;5908;5956;7777;6459;6730.666667;3044;3967;2594;3201.666667;5490;8069;7249;6936
2008;5777;7628;6281;6562;5387;7987;7231;6868.333333;5493;6559;4934;5662;3301;4891;4268;4153.333333
2009;5187;6628;5946;5920.333333;5581;7172;6767;6506.666667;5090;6409;5268;5589;1648;3117;3420;2728.333333
2010;5270;6282;5350;5634;6650;8887;;;3187;3916;3624;3575.666667;6640;8883;;
